Length,Width,Box,Candy
16,6.5,plastic,15
20.5,9,cardboard,19
16,7,plastic,14
17.5,9,cardboard,19
19,10,cardboard,25
18.6,8.5,cardboard,22
18.5,8.5,cardboard,26
17.5,8.5,cardboard,17
17.5,7,cardboard,23
19.5,9,cardboard,27
17,8,cardboard,24
18.5,8.5,plastic,21
18.9,8.4,cardboard,22
16,6.5,cardboard,16
16,6.5,plastic,19
16,6.5,cardboard,14
18,7.5,cardboard,23
16.5,8,cardboard,23
16,7,cardboard ,23
18,7.5,cardboard,29
18.5,8.5,cardboard,28
18.5,8.5,cardboard,20
17,8,cardboard,24
20,9,cardboard,27
16,7,cardboard,13
17.5,8,plastic,19
17.5,8,plastic,13
19,10,cardboard,21
19,10,plastic,13
19,10,plastic,18
17,8,cardboard,26
19.8,9,cardboard,25
17.5,7.5,cardboard,29
20.5,9,plastic,27
20.5,9,cardboard,21
20.5,9,plastic,34
16.2,7.1,plastic,10
16.2,7.1,plastic,13
16.2,7.1,cardboard,16
16.2,7.1,cardboard,12
17,7.5,plastic,21
17,7.5,plastic,20
17,7.5,cardboard,30
17,7.5,cardboard,27
16,7,cardboard,17
16,7,cardboard,18
16,7,plastic,16
16,7,cardboard,14
16,7,plastic,8
16,7,plastic ,9
16.5,8,plastic,16
16.5,8,plastic,14
17.5,8,cardboard,28
17,8,plastic,12
17,8,plastic,22
18.5,8.5,plastic,13
18.5,8.5,plastic,10
19.5,9,plastic,25
17.4,7.4,cardboard,20
19,10,cardboard,20
19,10,plastic,29
17,8,cardboard,20
17,8,cardboard,18
17,8,plastic,22
16,7,cardboard,12
16,7,plastic,13
16,7,plastic,11
18,7.5,plastic,16
18,7.5,plastic,18
18.5,8.5,plastic,25
18.5,8.5,plastic,29
18.5,8.5,plastic,21
18.5,8.5,cardboard,16
18.7,8.4,plastic,20
18.9,8.4,plastic,13
18.8,8.3,cardboard,21
19.7,9,plastic,23
18,7.4,plastic,10
